title,company,skills,job_description,skills_text,combined_processed_text,cluster
Sample Data Scientist,AI Labs,"['python', 'machine learning', 'tensorflow', 'pytorch', 'data analysis']",Work with data to build ML models.,python machine learning tensorflow pytorch data analysis,work datum build ml model python machine learn tensorflow pytorch datum analysis sample data scientist,4
Sample Web Developer,Code Innovators,"['javascript', 'react', 'node.js', 'html', 'css', 'frontend']",Develop cutting-edge web applications.,javascript react nodejs html css frontend,develop cutting edge web application javascript react nodejs html css frontend sample web developer,2
Sample HR Manager,People Solutions,"['recruitment', 'hr operations', 'employee relations', 'talent acquisition', 'payroll']",Manage human resources operations.,recruitment hr operations employee relations talent acquisition payroll,manage human resource operation recruitment hr operation employee relation talent acquisition payroll sample hr manager,2
Sample Marketing Specialist,Brand Builders,"['digital marketing', 'seo', 'content creation', 'social media', 'google analytics']",Plan and execute marketing campaigns.,digital marketing seo content creation social media google analytics,plan execute marketing campaign digital marketing seo content creation social medium google analytic sample marketing specialist,2
Sample Sales Executive,Growth Inc,"['sales', 'crm', 'negotiation', 'client management', 'lead generation']",Drive sales and manage client relationships.,sales crm negotiation client management lead generation,drive sale manage client relationship sale crm negotiation client management lead generation sample sales executive,2
Cloud Engineer,CloudPro,"['aws', 'azure', 'devops', 'kubernetes', 'cloud security', 'terraform']",Design and implement cloud infrastructure.,aws azure devops kubernetes cloud security terraform,design implement cloud infrastructure aw azure devop kubernete cloud security terraform cloud engineer,1
Cyber Security Analyst,SecureNet,"['cybersecurity', 'splunk', 'firewall', 'linux', 'network security', 'incident response']",Protect systems from cyber threats.,cybersecurity splunk firewall linux network security incident response,protect system cyber threat cybersecurity splunk firewall linux network security incident response cyber security analyst,1
Business Analyst,Consulting Inc,"['business analysis', 'sql', 'tableau', 'requirements gathering', 'data visualization', 'agile']",Analyze business needs and propose solutions.,business analysis sql tableau requirements gathering data visualization agile,analyze business need propose solution business analysis sql tableau requirement gather datum visualization agile business analyst,0
Mobile App Developer,AppCreators,"['kotlin', 'swift', 'android', 'ios', 'mobile development', 'ui/ux']",Develop mobile applications for Android and iOS.,kotlin swift android ios mobile development uiux,develop mobile application android ios kotlin swift android ios mobile development uiux mobile app developer,1
DevOps Engineer,Automation Hub,"['jenkins', 'ansible', 'docker', 'ci/cd', 'git', 'scripting']",Automate software delivery processes.,jenkins ansible docker cicd git scripting,automate software delivery process jenkin ansible docker cicd git script devops engineer,1
Senior Data Analyst,Quant Insights,"['sql', 'power bi', 'excel', 'data modeling', 'statistics', 'dashboarding']",Perform complex data analysis and reporting.,sql power bi excel data modeling statistics dashboarding,perform complex datum analysis reporting sql power bi excel datum modeling statistic dashboarde senior data analyst,0
Backend Developer,API Builders,"['java', 'spring boot', 'rest api', 'microservices', 'database design', 'kotlin']",Build robust backend services and APIs.,java spring boot rest api microservices database design kotlin,build robust backend service api java spring boot rest api microservice database design kotlin backend developer,1
Frontend Developer,UI Masters,"['html', 'css', 'javascript', 'vue.js', 'responsive design', 'web design']",Create intuitive and engaging user interfaces.,html css javascript vuejs responsive design web design,create intuitive engage user interface html css javascript vuejs responsive design web design frontend developer,1
Project Manager,Delivery Solutions,"['project management', 'agile', 'scrum', 'leadership', 'stakeholder management', 'risk management']",Lead and manage software development projects.,project management agile scrum leadership stakeholder management risk management,lead manage software development project project management agile scrum leadership stakeholder management risk management project manager,1
Content Writer,Wordsmiths,"['content writing', 'copywriting', 'blogging', 'seo', 'editing', 'grammar']",Create engaging content for various platforms.,content writing copywriting blogging seo editing grammar,create engage content platform content write copywriting blogge seo edit grammar content writer,1
Financial Analyst,Wealth Mgmt,"['finance', 'forecasting', 'excel', 'valuation', 'financial modeling', 'investment analysis']",Analyze financial data and prepare reports.,finance forecasting excel valuation financial modeling investment analysis,analyze financial datum prepare report finance forecasting excel valuation financial modeling investment analysis financial analyst,0
Network Administrator,NetServe,"['networking', 'cisco', 'windows server', 'active directory', 'troubleshooting', 'router configuration']",Manage and maintain network infrastructure.,networking cisco windows server active directory troubleshooting router configuration,manage maintain network infrastructure network cisco window server active directory troubleshooting router configuration network administrator,1
Machine Learning Engineer,AI Innovate,"['pytorch', 'nlp', 'computer vision', 'data science', 'deep learning', 'model deployment']",Build and deploy machine learning models.,pytorch nlp computer vision data science deep learning model deployment,build deploy machine learning model pytorch nlp computer vision datum science deep learning model deployment machine learning engineer,3
Product Manager,InnovateTech,"['product management', 'roadmap', 'market research', 'ux', 'agile product management', 'strategy']",Define product vision and strategy.,product management roadmap market research ux agile product management strategy,define product vision strategy product management roadmap market research ux agile product management strategy product manager,1
Full Stack Java Dev,Enterprise Solutions,"['java', 'springboot', 'angular', 'rest', 'hibernate', 'typescript']",Develop end-to-end Java applications.,java springboot angular rest hibernate typescript,develop end end java application java springboot angular rest hibernate typescript stack java dev,1
IT Support Specialist,HelpDesk Pro,"['troubleshooting', 'hardware', 'software', 'customer service', 'windows', 'microsoft office']",Provide technical support to users.,troubleshooting hardware software customer service windows microsoft office,provide technical support user troubleshooting hardware software customer service window microsoft office support specialist,1
Graphic Designer,Creative Edge,"['adobe photoshop', 'illustrator', 'indesign', 'branding', 'layout design']",Create visual concepts for various media.,adobe photoshop illustrator indesign branding layout design,create visual concept medium adobe photoshop illustrator indesign brand layout design graphic designer,1
Quality Assurance Engineer,Quality First,"['qa testing', 'manual testing', 'automation testing', 'selenium', 'jira']",Ensure software quality through testing.,qa testing manual testing automation testing selenium jira,ensure software quality testing qa test manual testing automation testing selenium jira quality assurance engineer,1
Biotech Scientist,BioTech Labs,"['biology', 'chemistry', 'research', 'lab techniques', 'data analysis', 'genomics']",Conduct scientific research in biotechnology.,biology chemistry research lab techniques data analysis genomics,conduct scientific research biotechnology biology chemistry research lab technique datum analysis genomic biotech scientist,0
Legal Counsel,Law Associates,"['legal research', 'contract drafting', 'litigation', 'corporate law', 'compliance']",Provide legal advice and representation.,legal research contract drafting litigation corporate law compliance,provide legal advice representation legal research contract draft litigation corporate law compliance legal counsel,1
